+ plus_sign
< less-than_sign
= equals_sign
> greater-than_sign
| vertical_line
~ tilde
¬ not_sign
± plus-minus_sign
× multiplication_sign
÷ division_sign
϶ greek_reversed_lunate_epsilon_symbol
؆ arabic-indic_cube_root
؇ arabic-indic_fourth_root
؈ arabic_ray
⁄ fraction_slash
⁒ commercial_minus_sign
⁺ superscript_plus_sign
⁻ superscript_minus
⁼ superscript_equals_sign
₊ subscript_plus_sign
₋ subscript_minus
₌ subscript_equals_sign
℘ script_capital_p
⅀ double-struck_n-ary_summation
⅁ turned_capital_g
⅂ turned_capital_l
⅃ reversed_capital_l
⅄ turned_capital_y
⅋ turned_ampersand
← leftwards_arrow
↑ upwards_arrow
→ rightwards_arrow
↓ downwards_arrow
↔ left_right_arrow
↚ leftwards_arrow_with_stroke
↛ rightwards_arrow_with_stroke
↠ rightwards_two_headed_arrow
↣ rightwards_arrow_with_tail
↦ rightwards_arrow_from_bar
↮ left_right_arrow_with_stroke
⇎ left_right_double_arrow_with_stroke
⇏ rightwards_double_arrow_with_stroke
⇒ rightwards_double_arrow
⇔ left_right_double_arrow
⇴ right_arrow_with_small_circle
⇵ downwards_arrow_leftwards_of_upwards_arrow
⇶ three_rightwards_arrows
⇷ leftwards_arrow_with_vertical_stroke
⇸ rightwards_arrow_with_vertical_stroke
⇹ left_right_arrow_with_vertical_stroke
⇺ leftwards_arrow_with_double_vertical_stroke
⇻ rightwards_arrow_with_double_vertical_stroke
⇼ left_right_arrow_with_double_vertical_stroke
⇽ leftwards_open-headed_arrow
⇾ rightwards_open-headed_arrow
⇿ left_right_open-headed_arrow
∀ for_all
∁ complement
∂ partial_differential
∃ there_exists
∄ there_does_not_exist
∅ empty_set
∆ increment
∇ nabla
∈ element_of
∉ not_an_element_of
∊ small_element_of
∋ contains_as_member
∌ does_not_contain_as_member
∍ small_contains_as_member
∎ end_of_proof
∏ n-ary_product
∐ n-ary_coproduct
∑ n-ary_summation
− minus_sign
∓ minus-or-plus_sign
∔ dot_plus
∕ division_slash
∖ set_minus
∗ asterisk_operator
∘ ring_operator
∙ bullet_operator
√ square_root
∛ cube_root
∜ fourth_root
∝ proportional_to
∞ infinity
∟ right_angle
∠ angle
∡ measured_angle
∢ spherical_angle
∣ divides
∤ does_not_divide
∥ parallel_to
∦ not_parallel_to
∧ logical_and
∨ logical_or
∩ intersection
∪ union
∫ integral
∬ double_integral
∭ triple_integral
∮ contour_integral
∯ surface_integral
∰ volume_integral
∱ clockwise_integral
∲ clockwise_contour_integral
∳ anticlockwise_contour_integral
∴ therefore
∵ because
∶ ratio
∷ proportion
∸ dot_minus
∹ excess
∺ geometric_proportion
∻ homothetic
∼ tilde_operator
∽ reversed_tilde
∾ inverted_lazy_s
∿ sine_wave
≀ wreath_product
≁ not_tilde
≂ minus_tilde
≃ asymptotically_equal_to
≄ not_asymptotically_equal_to
≅ approximately_equal_to
≆ approximately_but_not_actually_equal_to
≇ neither_approximately_nor_actually_equal_to
≈ almost_equal_to
≉ not_almost_equal_to
≊ almost_equal_or_equal_to
≋ triple_tilde
≌ all_equal_to
≍ equivalent_to
≎ geometrically_equivalent_to
≏ difference_between
≐ approaches_the_limit
≑ geometrically_equal_to
≒ approximately_equal_to_or_the_image_of
≓ image_of_or_approximately_equal_to
≔ colon_equals
≕ equals_colon
≖ ring_in_equal_to
≗ ring_equal_to
≘ corresponds_to
≙ estimates
≚ equiangular_to
≛ star_equals
≜ delta_equal_to
≝ equal_to_by_definition
≞ measured_by
≟ questioned_equal_to
≠ not_equal_to
≡ identical_to
≢ not_identical_to
≣ strictly_equivalent_to
≤ less-than_or_equal_to
≥ greater-than_or_equal_to
≦ less-than_over_equal_to
≧ greater-than_over_equal_to
≨ less-than_but_not_equal_to
≩ greater-than_but_not_equal_to
≪ much_less-than
≫ much_greater-than
≬ between
≭ not_equivalent_to
≮ not_less-than
≯ not_greater-than
≰ neither_less-than_nor_equal_to
≱ neither_greater-than_nor_equal_to
≲ less-than_or_equivalent_to
≳ greater-than_or_equivalent_to
≴ neither_less-than_nor_equivalent_to
≵ neither_greater-than_nor_equivalent_to
≶ less-than_or_greater-than
≷ greater-than_or_less-than
≸ neither_less-than_nor_greater-than
